Popis trasy,Označení linky,Webový odkaz na jízdní řád Veřejné dopravy Královéhradeckého kraje,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Jedinečný identifikátor v katalogu otevřených dat Data KHK,Délka v metrech,ID,Shape__Length
Hradec Králové-Hořice-Jičín-Turnov-Liberec,370,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=370,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI94,79867.6682973,178,79867.6682972776
Choceň-Skořenice-Kostelecké Horky- Borohrádek,943,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=943,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI178,26400.4905638,179,26400.490563794
Hradec Králové-Hořiněves-Velký Vřešťov-Dubenec-Dvůr Králové n.L.,107,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=107,Královéhradecký kraj,CZ052,ALI7,55512.9421195,180,55512.9421194845
Dobruška-Opočno-Přepychy-Voděrady-Lično-Černíkovice-Rychnov n.Kněž.,265,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=265,Královéhradecký kraj,CZ052,ALI52,50528.5456345,181,50528.5456344796
Trutnov-Starý Rokytník-Úpice-Červený Kostelec-Náchod,300,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=300,Královéhradecký kraj,CZ052,ALI60,51300.1953652,182,51300.1953652003
Turistický autobus s přepravou kol (baťoh): Police n.Met.-Machov-Karlów,361,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=361,"Královéhradecký kraj, Polsko","CZ052, PL",ALI90,30415.6505973,183,30415.6505973419
Jičín-Lužany-Chomutice-Hořice,515,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=515,Královéhradecký kraj,CZ052,ALI152,42277.2371857,184,42277.2371857066
Hořice-Ostroměř-Mlázovice,523,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=523,Královéhradecký kraj,CZ052,ALI157,20771.7857907,185,20771.7857907493
Kopidlno-Libáň-Březno-Mladá Boleslav,723,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=723,"Královéhradecký kraj, Středočeský kraj","CZ052, CZ020",ALI175,33246.0596026,186,33246.0596026113
Vrchlabí-Kunčice-Klášterská Lhota-Hostinné,452,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=452,Královéhradecký kraj,CZ052,ALI131,20167.6403521,187,20167.6403520642
"Vrchlabí-Horní Branná,Valteřice-Jilemnice-Vrchlabí",459,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=459,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI137,14667.8456791,188,14667.8456790576
Vrchlabí-Rudník-Mladé Buky-Trutnov,400,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=400,Královéhradecký kraj,CZ052,ALI110,38711.7693132,189,38711.7693132445
Hořice – Holovousy – Bílsko - Hořice,525,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=525,Královéhradecký kraj,CZ052,ALI195,9629.1998423,190,9629.19984229527
Lomnice nad Popelkou - Libuň - Mladějov - Sobotka,551,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=551,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI196,31410.9537533,191,31410.9537533153
Turistický autobus s přepravou kol (vlek na kola): Náchod-Červený Kostelec-Trutnov-Pec pod Sněžkou-Malá Úpa,394,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=394,Královéhradecký kraj,CZ052,ALI197,75743.3648217,192,75743.3648217389
"Turistický autobus s přepravou kol (vlek na kola): Pardubice - Holice - Rychnov n. Kn. - Rokytnice v Orl. h. - Říčky - Deštné v Orl.h., Šerlich - Deštné v Orl.h.",690,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=690,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI198,92302.0466664,193,92302.0466664162
Turistický autobus s přepravou kol (baťoh): Mladá Boleslav-Mnichovo Hradiště-Kněžmost-Sobotka,PID997,https://pid.cz/wp-content/uploads/2021/07/997-J%C5%98.pdf,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI199,14591.4210427,194,14591.4210426775
Turistický autobus s přepravou kol (vlek na kola): Rychnov n.Kněž. - Rokytnice v Orl.h. - Deštné v Orl.h.,294,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=294,Královéhradecký kraj, CZ052,ALI200,60211.4567909,195,60211.456790903
